"Observed m/z";"Adjusted m/z";Matched name;Adduct;Formula;Matched delta mass (Da);Matched difference (ppm);Matched theoretical mass;Coverage
108.901981;108.901981;Potassium chloride;[M+Cl];ClK;2.06111e-5;0.189263;108.901961;1 out of 5
110.899036;110.899036;Selenite;[M-H2O-H];H2O3Se;-3.89103e-5;-0.350862;110.899075;1 out of 5
112.985620;112.985620;"Fluoro 2,2-difluoroacetate";[M-H];C2HF3O2;3.35082e-5;0.296571;112.985587;1 out of 5
112.985620;112.985620;Trifluoroacetic acid;[M-H];C2HF3O2;3.33782e-5;0.295420;112.985587;1 out of 5
112.985620;112.985620;Hydroxymethyl hydrogen carbonate;[M+Na-H2];C2H4O4;-5.33981e-6;-0.047261;112.985626;1 out of 5
114.926237;114.926237;"Carbonothioic O,S-acid";[M+K-H2];CH2O2S;8.16066e-5;0.710079;114.926155;1 out of 5
114.926237;114.926237;Chlorosulfonic acid;[M-H];ClHO3S;2.12846e-5;0.185202;114.926216;1 out of 5
114.926237;114.926237;Sulfur trioxide;[M+Cl];O3S;2.10506e-5;0.183166;114.926216;1 out of 5
114.935750;114.935750;"Poly(acrylic acid-co-hypophosphite), sodium salt";[M+K-H2];CH3O2P;7.86442e-5;0.684246;114.935671;1 out of 5
114.935750;114.935750;Metaphosphoric acid;[M+Cl];HO3P;1.85692e-5;0.161562;114.935731;1 out of 5
114.935750;114.935750;Acetyl chloride;[M+K-H2];C2H3ClO;-9.74208e-5;-0.847610;114.935847;1 out of 5
114.935750;114.935750;Chloroacetaldehyde;[M+K-H2];C2H3ClO;-9.74458e-5;-0.847827;114.935847;1 out of 5
119.947002;119.947002;Sodium nitrate (NaNO3);[M+Cl];NNaO3;1.30323e-5;0.108650;119.946989;1 out of 5
122.985264;122.985264;phosphonoacetaldehyde;[M-H];C2H5O4P;-4.36008e-6;-0.035452;122.985268;2 out of 5
122.985264;122.985264;"2-Butyne-1,4-diol";[M+K-H2];C4H6O2;-1.20633e-4;-0.980873;122.985384;1 out of 5
122.985264;122.985264;"2,2'-Bioxirane";[M+K-H2];C4H6O2;-1.20633e-4;-0.980873;122.985384;1 out of 5
122.985264;122.985264;Acetoacetaldehyde;[M+K-H2];C4H6O2;-1.20633e-4;-0.980873;122.985384;1 out of 5
122.985264;122.985264;Allyl formate;[M+K-H2];C4H6O2;-1.20633e-4;-0.980873;122.985384;1 out of 5
122.985264;122.985264;Cyclopropanecarboxylic acid;[M+K-H2];C4H6O2;-1.20633e-4;-0.980873;122.985384;1 out of 5
122.985264;122.985264;"Butanal, 2-oxo-";[M+K-H2];C4H6O2;-1.20633e-4;-0.980873;122.985384;1 out of 5
122.985264;122.985264;Methylmalondialdehyde;[M+K-H2];C4H6O2;-1.20633e-4;-0.980873;122.985384;1 out of 5
122.985264;122.985264;Succinaldehyde;[M+K-H2];C4H6O2;-1.20633e-4;-0.980873;122.985384;1 out of 5
122.985264;122.985264;gamma-Butyrolactone;[M+K-H2];C4H6O2;-1.20636e-4;-0.980898;122.985384;1 out of 5
122.985264;122.985264;Oxolan-3-one;[M+K-H2];C4H6O2;-1.20636e-4;-0.980898;122.985384;1 out of 5
122.985264;122.985264;Diacetyl;[M+K-H2];C4H6O2;-1.20636e-4;-0.980898;122.985384;1 out of 5
122.985264;122.985264;But-2-enoic acid;[M+K-H2];C4H6O2;-1.20636e-4;-0.980898;122.985384;1 out of 5
122.985264;122.985264;Ethenyl acetate;[M+K-H2];C4H6O2;-1.20636e-4;-0.980898;122.985384;1 out of 5
122.985264;122.985264;Methyl acrylate;[M+K-H2];C4H6O2;-1.20636e-4;-0.980898;122.985384;1 out of 5
122.985264;122.985264;Isocrotonic acid;[M+K-H2];C4H6O2;-1.20636e-4;-0.980898;122.985384;1 out of 5
122.985264;122.985264;METHACRYLIC ACID;[M+K-H2];C4H6O2;-1.20636e-4;-0.980898;122.985384;1 out of 5
124.007409;124.007409;Taurine;[M-H];C2H7NO3S;2.25896e-5;0.182164;124.007387;2 out of 5
124.007409;124.007409;3h-Taurine;[M-H];C2H7NO3S;2.21116e-5;0.178309;124.007387;2 out of 5
124.007409;124.007409;Sulfonamidoethanol;[M-H];C2H7NO3S;2.21116e-5;0.178309;124.007387;2 out of 5
125.001099;125.001099;"1,3-Dioxane";[M+K-H2];C4H8O2;6.41700e-5;0.513355;125.001034;1 out of 5
125.001099;125.001099;"3-Butene-1,2-diol";[M+K-H2];C4H8O2;6.41700e-5;0.513355;125.001034;1 out of 5
125.001099;125.001099;Butyric acid;[M+K-H2];C4H8O2;6.41680e-5;0.513339;125.001035;1 out of 5
125.001099;125.001099;Isobutyric acid;[M+K-H2];C4H8O2;6.41680e-5;0.513339;125.001035;1 out of 5
125.001099;125.001099;Acetoin;[M+K-H2];C4H8O2;6.41680e-5;0.513339;125.001035;1 out of 5
125.001099;125.001099;Methyl propionate;[M+K-H2];C4H8O2;6.41680e-5;0.513339;125.001035;1 out of 5
125.001099;125.001099;Ethyl acetate;[M+K-H2];C4H8O2;6.41680e-5;0.513339;125.001035;1 out of 5
125.001099;125.001099;1-Hydroxy-2-butanone;[M+K-H2];C4H8O2;6.41680e-5;0.513339;125.001035;1 out of 5
125.001099;125.001099;Propyl formate;[M+K-H2];C4H8O2;6.41680e-5;0.513339;125.001035;1 out of 5
125.001099;125.001099;Isopropyl formate;[M+K-H2];C4H8O2;6.41680e-5;0.513339;125.001035;1 out of 5
125.001099;125.001099;Dioxane;[M+K-H2];C4H8O2;6.41680e-5;0.513339;125.001035;1 out of 5
125.001099;125.001099;(R)-Acetoin;[M+K-H2];C4H8O2;6.41680e-5;0.513339;125.001035;1 out of 5
125.001099;125.001099;"1,2,4-Trioxane";[M+Cl];C3H6O3;3.61496e-6;0.028919;125.001095;1 out of 5
125.001099;125.001099;"1,3,5-Trioxane";[M+Cl];C3H6O3;3.61496e-6;0.028919;125.001095;1 out of 5
125.001099;125.001099;Methyl ethaneperoxoate;[M+Cl];C3H6O3;3.61496e-6;0.028919;125.001095;1 out of 5
125.001099;125.001099;L-Lactic acid;[M+Cl];C3H6O3;3.60996e-6;0.028879;125.001095;1 out of 5
125.001099;125.001099;Hydroxypropionic acid;[M+Cl];C3H6O3;3.60996e-6;0.028879;125.001095;1 out of 5
125.001099;125.001099;Glyceraldehyde;[M+Cl];C3H6O3;3.60996e-6;0.028879;125.001095;1 out of 5
