"Observed m/z";"Adjusted m/z";Matched name;Adduct;Formula;Matched delta mass (Da);Matched difference (ppm);Matched theoretical mass;Coverage
156.042121;156.042121;4R-aminopentanoic acid;[M+K];C5H11NO2;-1.41115e-5;-0.090434;156.042136;1 out of 4
156.042121;156.042121;4S-aminopentanoic acid;[M+K];C5H11NO2;-1.41115e-5;-0.090434;156.042136;1 out of 4
156.042121;156.042121;4-amino-pentanoic acid;[M+K];C5H11NO2;-1.41115e-5;-0.090434;156.042136;1 out of 4
156.042121;156.042121;5-amino-pentanoic acid;[M+K];C5H11NO2;-1.41115e-5;-0.090434;156.042136;1 out of 4
156.042121;156.042121;2S-amino-pentanoic acid;[M+K];C5H11NO2;-1.41115e-5;-0.090434;156.042136;1 out of 4
156.042121;156.042121;2-Amino-3-methylbutanoic acid;[M+K];C5H11NO2;-1.41115e-5;-0.090434;156.042136;1 out of 4
184.073618;184.073618;2R-aminoheptanoic acid;[M+K];C7H15NO2;1.82429e-4;0.991064;184.073436;1 out of 4
184.073618;184.073618;2S-aminoheptanoic acid;[M+K];C7H15NO2;1.82429e-4;0.991064;184.073436;1 out of 4
184.073618;184.073618;2-amino-heptanoic acid;[M+K];C7H15NO2;1.82429e-4;0.991064;184.073436;1 out of 4
226.105184;226.105184;Acetyl-D-carnitine;[M+Na];C9H17NO4;2.05588e-4;0.909261;226.104978;2 out of 4
226.105184;226.105184;Acetyl-L-carnitine;[M+Na];C9H17NO4;2.05588e-4;0.909261;226.104978;2 out of 4
226.105184;226.105184;DL-Acetylcarnitine;[M+Na];C9H17NO4;2.05588e-4;0.909261;226.104978;2 out of 4
232.154502;232.154502;Butyrylcarnitine;[M+H];C11H21NO4;1.68163e-4;0.724357;232.154334;1 out of 4
232.154502;232.154502;O-butanoyl-carnitine;[M+H];C11H21NO4;1.68163e-4;0.724357;232.154334;1 out of 4
232.154502;232.154502;Isobutyryl-L-carnitine;[M+H];C11H21NO4;1.68163e-4;0.724357;232.154334;1 out of 4
242.079023;242.079023;Acetyl-D-carnitine;[M+K];C9H17NO4;1.08276e-4;0.447276;242.078915;2 out of 4
242.079023;242.079023;Acetyl-L-carnitine;[M+K];C9H17NO4;1.08276e-4;0.447276;242.078915;2 out of 4
242.079023;242.079023;DL-Acetylcarnitine;[M+K];C9H17NO4;1.08276e-4;0.447276;242.078915;2 out of 4
248.068054;248.068054;(E)-4-Nitrostilbene;[M+Na];C14H11NO2;-1.45012e-4;-0.584564;248.068199;1 out of 4
248.149400;248.149400;3-hydroxybutyrylcarnitine;[M+H];C11H21NO5;1.50843e-4;0.607874;248.149249;1 out of 4
248.149400;248.149400;Hydroxybutyrylcarnitine;[M+H];C11H21NO5;1.50843e-4;0.607874;248.149249;1 out of 4
260.185701;260.185701;O-hexanoyl-R-carnitine;[M+H];C13H25NO4;6.69274e-5;0.257229;260.185634;1 out of 4
260.185701;260.185701;Hexanoylcarnitine;[M+H];C13H25NO4;6.69274e-5;0.257229;260.185634;1 out of 4
263.237010;263.237010;6-[3]-ladderane-1-hexanol;[M+H];C18H30O;6.83892e-5;0.259801;263.236942;1 out of 4
263.237010;263.237010;"9,12,15-octadecatrienal";[M+H];C18H30O;6.83892e-5;0.259801;263.236942;1 out of 4
263.237010;263.237010;"9Z,12Z,15Z-Octadecatrienal";[M+H];C18H30O;6.83892e-5;0.259801;263.236942;1 out of 4
263.237010;263.237010;5-(1-hydroxypropan-2-yl)isolongifol-5-ene;[M+H];C18H30O;6.83892e-5;0.259801;263.236942;1 out of 4
263.237010;263.237010;5-(1-hydroxypropan-2-yl)isolongifol-4-ene;[M+H];C18H30O;6.83892e-5;0.259801;263.236942;1 out of 4
263.237010;263.237010;5-(2-methoxyethyl)isolongifol-5-ene;[M+H];C18H30O;6.83892e-5;0.259801;263.236942;1 out of 4
264.062873;264.062873;trans-2-(4-nitrophenyl)-3-phenyloxirane;[M+Na];C14H11NO3;-2.39848e-4;-0.908298;264.063113;1 out of 4
