"Observed m/z";"Adjusted m/z";Matched name;Adduct;Formula;Matched delta mass (Da);Matched difference (ppm);Matched theoretical mass;Coverage
136.015940;136.015940;2-Hydroxypent-3-enenitrile;[M+K];C5H7NO;1.91510e-5;0.140800;136.015921;1 out of 4
136.015940;136.015940;4-Oxopentanenitrile;[M+K];C5H7NO;1.91510e-5;0.140800;136.015921;1 out of 4
136.015940;136.015940;Cyanohydroxybutene;[M+K];C5H7NO;1.91510e-5;0.140800;136.015921;1 out of 4
136.015940;136.015940;1-Cyano-2-hydroxy-3-butene;[M+K];C5H7NO;1.91490e-5;0.140785;136.015921;1 out of 4
136.015940;136.015940;"2,4-Dimethyloxazole";[M+K];C5H7NO;1.91490e-5;0.140785;136.015921;1 out of 4
136.015940;136.015940;"2,5-Dimethyloxazole";[M+K];C5H7NO;1.91490e-5;0.140785;136.015921;1 out of 4
136.015940;136.015940;"4,5-Dimethyloxazole";[M+K];C5H7NO;1.91490e-5;0.140785;136.015921;1 out of 4
137.023740;137.023740;Prolyl;[M+K];C5H8NO;-5.88200e-6;-0.042927;137.023746;1 out of 4
138.031582;138.031582;2-Ethyl-2-oxazoline;[M+K];C5H9NO;1.10860e-5;0.080315;138.031571;1 out of 4
138.031582;138.031582;"4,4-Dimethyl-2-oxazoline";[M+K];C5H9NO;1.10860e-5;0.080315;138.031571;1 out of 4
138.031582;138.031582;"N,N-Dimethylacrylamide";[M+K];C5H9NO;1.10860e-5;0.080315;138.031571;1 out of 4
138.031582;138.031582;PYRROLIDINE-2-CARBALDEHYDE;[M+K];C5H9NO;1.10860e-5;0.080315;138.031571;1 out of 4
138.031582;138.031582;2-Piperidinone;[M+K];C5H9NO;1.10850e-5;0.080308;138.031571;1 out of 4
138.031582;138.031582;1-Pyrrolidinecarboxaldehyde;[M+K];C5H9NO;1.10850e-5;0.080308;138.031571;1 out of 4
138.031582;138.031582;"2,5-Dihydro-2,4-dimethyloxazole";[M+K];C5H9NO;1.10850e-5;0.080308;138.031571;1 out of 4
138.031582;138.031582;(2R)-2-Hydroxy-2-methylbutanenitrile;[M+K];C5H9NO;1.10850e-5;0.080308;138.031571;1 out of 4
138.031582;138.031582;Salicylates;[M+H];C7H5O3;-1.11601e-4;-0.808517;138.031694;1 out of 4
154.026444;154.026444;indol-2-one;[M+Na];C8H5NO;1.10215e-4;0.715559;154.026334;1 out of 4
154.026444;154.026444;5-(Hydroxymethyl)pyrrolidin-2-one;[M+K];C5H9NO2;-4.15340e-5;-0.269655;154.026486;1 out of 4
154.026444;154.026444;5-Hydroxy-1-methylpyrrolidin-2-one;[M+K];C5H9NO2;-4.15340e-5;-0.269655;154.026486;1 out of 4
154.026444;154.026444;DL-Allylglycine;[M+K];C5H9NO2;-4.15340e-5;-0.269655;154.026486;1 out of 4
154.026444;154.026444;N-(2-Hydroxyethyl)acrylamide;[M+K];C5H9NO2;-4.15340e-5;-0.269655;154.026486;1 out of 4
154.026444;154.026444;N-Allylglycine;[M+K];C5H9NO2;-4.15340e-5;-0.269655;154.026486;1 out of 4
