"Observed m/z";"Adjusted m/z";Matched name;Adduct;Formula;Matched delta mass (Da);Matched difference (ppm);Matched theoretical mass;Coverage
137.019293;137.019439;3-Methyl-2-butene-1-thiol;[M+Cl];C5H10S;-2.83402e-4;-2.068332;137.019722;1 out of 5
137.019293;137.019439;1-(Methylthio)-1-butene;[M+Cl];C5H10S;-2.83402e-4;-2.068332;137.019722;1 out of 5
137.019293;137.019439;Cyclopentanethiol;[M+Cl];C5H10S;-2.83402e-4;-2.068332;137.019722;1 out of 5
137.019293;137.019439;2-Methyl-1-propenethiol;[M+Cl];C5H10S;-2.83402e-4;-2.068332;137.019722;1 out of 5
137.023740;137.023886;N-Methyl-N'-nitrosoguanidine;[M+Cl];C2H6N4O;3.23784e-4;2.362978;137.023562;1 out of 5
139.027996;139.028144;N-Propylurea;[M+K-H2];C4H10N2O;2.25893e-4;1.624801;139.027918;1 out of 5
139.027996;139.028144;Alanine amine;[M+Cl];C3H8N2O2;1.65337e-4;1.189233;139.027979;1 out of 5
139.027996;139.028144;(S)-2-Hydrazinopropionic acid;[M+Cl];C3H8N2O2;1.65337e-4;1.189233;139.027979;1 out of 5
139.027996;139.028144;"2,3-Diaminopropionic acid";[M+Cl];C3H8N2O2;1.65333e-4;1.189204;139.027979;1 out of 5
147.076812;147.076969;N(tele)-methylhistaminium;[M+Na-H2];C6H12N3;-2.71941e-4;-1.848966;147.077241;1 out of 5
154.026444;154.026609;Guanidino succinic acid;[M-H2O-H];C5H7N3O4;-3.03086e-4;-1.967748;154.026912;1 out of 5
155.029816;155.029982;Diisopropyl sulfide;[M+K-H2];C6H14S;-2.44196e-4;-1.575149;155.030226;1 out of 5
155.029816;155.029982;Dipropyl sulfide;[M+K-H2];C6H14S;-2.44196e-4;-1.575149;155.030226;1 out of 5
155.029816;155.029982;1-Hexanethiol;[M+K-H2];C6H14S;-2.44196e-4;-1.575149;155.030226;1 out of 5
155.029816;155.029982;3-Mercapto-2-methyl-1-butanol;[M+Cl];C5H12OS;-3.04754e-4;-1.965769;155.030287;1 out of 5
155.029816;155.029982;3-Mercapto-3-methyl-1-butanol;[M+Cl];C5H12OS;-3.04754e-4;-1.965769;155.030287;1 out of 5
155.029816;155.029982;xi-2-Mercapto-3-methyl-1-butanol;[M+Cl];C5H12OS;-3.04754e-4;-1.965769;155.030287;1 out of 5
155.029816;155.029982;4-(Methylthio)-2-butanol;[M+Cl];C5H12OS;-3.04754e-4;-1.965769;155.030287;1 out of 5
155.029816;155.029982;4-(Methylthio)-1-butanol;[M+Cl];C5H12OS;-3.05238e-4;-1.968891;155.030287;1 out of 5
156.030699;156.030866;4-(Hydroxymethyl)benzenediazonium(1+);[M+Na-H2];C7H7N2O;3.61237e-4;2.315171;156.030505;1 out of 5
156.030699;156.030866;Berteroin;[M-H2O-H];C7H13NS2;-2.33708e-4;-1.497828;156.031100;1 out of 5
156.042562;156.042729;m-Toluamide;[M+Na-H2];C8H9NO;-3.51807e-4;-2.254551;156.043081;1 out of 5
156.042562;156.042729;4-Aminoacetophenone;[M+Na-H2];C8H9NO;-3.51807e-4;-2.254551;156.043081;1 out of 5
156.042562;156.042729;N-Acetylarylamine;[M+Na-H2];C8H9NO;-3.51808e-4;-2.254558;156.043081;1 out of 5
156.042562;156.042729;2-Phenylacetamide;[M+Na-H2];C8H9NO;-3.51808e-4;-2.254558;156.043081;1 out of 5
156.042562;156.042729;2-Aminoacetophenone;[M+Na-H2];C8H9NO;-3.51808e-4;-2.254558;156.043081;1 out of 5
156.042562;156.042729;2'-Aminoacetophenone;[M+Na-H2];C8H9NO;-3.51808e-4;-2.254558;156.043081;1 out of 5
156.042562;156.042729;2-Acetyl-4-methylpyridine;[M+Na-H2];C8H9NO;-3.51808e-4;-2.254558;156.043081;1 out of 5
156.042562;156.042729;2-Acetyl-6-methylpyridine;[M+Na-H2];C8H9NO;-3.51808e-4;-2.254558;156.043081;1 out of 5
156.042562;156.042729;"2,3-Dihydro-1H-pyrrolizine-5-carboxaldehyde";[M+Na-H2];C8H9NO;-3.51808e-4;-2.254558;156.043081;1 out of 5
156.042562;156.042729;"5-(2-Furanyl)-3,4-dihydro-2H-pyrrole";[M+Na-H2];C8H9NO;-3.51808e-4;-2.254558;156.043081;1 out of 5
156.042562;156.042729;2-Acetyl-5-methylpyridine;[M+Na-H2];C8H9NO;-3.51808e-4;-2.254558;156.043081;1 out of 5
156.042562;156.042729;4-Acetyl-2-methylpyridine;[M+Na-H2];C8H9NO;-3.51808e-4;-2.254558;156.043081;1 out of 5
156.042562;156.042729;4-Acetyl-3-methylpyridine;[M+Na-H2];C8H9NO;-3.51808e-4;-2.254558;156.043081;1 out of 5
156.042562;156.042729;N-benzylformamide;[M+Na-H2];C8H9NO;-3.51808e-4;-2.254558;156.043081;1 out of 5
157.038526;157.038694;4-Aminobenzamide;[M+Na-H2];C7H8N2O;3.64369e-4;2.320252;157.038330;1 out of 5
157.038526;157.038694;4-Hydroxy-benzamidine;[M+Na-H2];C7H8N2O;3.64369e-4;2.320252;157.038330;1 out of 5
157.038526;157.038694;5-Methylnicotinamide;[M+Na-H2];C7H8N2O;3.64369e-4;2.320252;157.038330;1 out of 5
157.038526;157.038694;Benzamidoxime;[M+Na-H2];C7H8N2O;3.64369e-4;2.320252;157.038330;1 out of 5
157.038526;157.038694;Benzohydrazide;[M+Na-H2];C7H8N2O;3.64369e-4;2.320252;157.038330;1 out of 5
157.038526;157.038694;N-Methylnicotinamide;[M+Na-H2];C7H8N2O;3.64367e-4;2.320240;157.038330;1 out of 5
157.038526;157.038694;2-Acetyl-3-methylpyrazine;[M+Na-H2];C7H8N2O;3.64367e-4;2.320240;157.038330;1 out of 5
157.038526;157.038694;2-Aminobenzamide;[M+Na-H2];C7H8N2O;3.64367e-4;2.320240;157.038330;1 out of 5
157.038526;157.038694;4-Acetyl-2-methylpyrimidine;[M+Na-H2];C7H8N2O;3.64367e-4;2.320240;157.038330;1 out of 5
157.038526;157.038694;2-Methylnicotinamide;[M+Na-H2];C7H8N2O;3.64367e-4;2.320240;157.038330;1 out of 5
157.038526;157.038694;"1,2-Diacylglycerol-Bile-PC-pool";[M+Na-H2];C7H8N2O;3.64367e-4;2.320240;157.038330;1 out of 5
157.038526;157.038694;3-Aminobenzamide;[M+Na-H2];C7H8N2O;3.64367e-4;2.320240;157.038330;1 out of 5
160.920086;160.920259;Methylarsonate;[M+Na-H2];CH5AsO3;1.26307e-4;0.784907;160.920132;1 out of 5
169.027038;169.027220;"3,4-Dihydro-1H-2-benzopyran-1-one";[M+Na-H2];C9H8O2;1.23765e-4;0.732221;169.027096;1 out of 5
169.027038;169.027220;Oxonal;[M+Na-H2];C9H8O2;1.23765e-4;0.732221;169.027096;1 out of 5
169.027038;169.027220;Cinnamic acid;[M+Na-H2];C9H8O2;1.23763e-4;0.732209;169.027096;1 out of 5
169.027038;169.027220;trans-Cinnamic acid;[M+Na-H2];C9H8O2;1.23763e-4;0.732209;169.027096;1 out of 5
169.027038;169.027220;(E)-3-(2-Hydroxyphenyl)-2-propenal;[M+Na-H2];C9H8O2;1.23763e-4;0.732209;169.027096;1 out of 5
169.027038;169.027220;Di-2-furanylmethane;[M+Na-H2];C9H8O2;1.23763e-4;0.732209;169.027096;1 out of 5
169.027038;169.027220;"1-Phenyl-1,2-propanedione";[M+Na-H2];C9H8O2;1.23763e-4;0.732209;169.027096;1 out of 5
169.027038;169.027220;"3,4-Dihydro-2H-1-benzopyran-2-one";[M+Na-H2];C9H8O2;1.23763e-4;0.732209;169.027096;1 out of 5
169.027038;169.027220;p-Coumaraldehyde;[M+Na-H2];C9H8O2;1.23763e-4;0.732209;169.027096;1 out of 5
169.027038;169.027220;3-Hydroxyhexanoic acid;[M+K-H2];C6H12O3;-2.89828e-5;-0.171468;169.027249;1 out of 5
169.027038;169.027220;1-Methoxy-2-propyl acetate;[M+K-H2];C6H12O3;-2.89828e-5;-0.171468;169.027249;1 out of 5
169.027038;169.027220;3-Hydroxybutyl acetate;[M+K-H2];C6H12O3;-2.89828e-5;-0.171468;169.027249;1 out of 5
169.027038;169.027220;Diethylene glycol monovinyl ether;[M+K-H2];C6H12O3;-2.89828e-5;-0.171468;169.027249;1 out of 5
169.027038;169.027220;methoxypyrimidinyl piperazine;[M+K-H2];C6H12O3;-2.89828e-5;-0.171468;169.027249;1 out of 5
169.027038;169.027220;"1,4-Dihydroxy-3,3-dimethylbutan-2-one";[M+K-H2];C6H12O3;-2.89828e-5;-0.171468;169.027249;1 out of 5
169.027038;169.027220;Solketal;[M+K-H2];C6H12O3;-2.89828e-5;-0.171468;169.027249;1 out of 5
169.027038;169.027220;2-Hydroxy-3-methylpentanoic acid;[M+K-H2];C6H12O3;-2.89868e-5;-0.171492;169.027249;1 out of 5
169.027038;169.027220;(5R)-5-Hydroxyhexanoic acid;[M+K-H2];C6H12O3;-2.89868e-5;-0.171492;169.027249;1 out of 5
169.027038;169.027220;5-Hydroxyhexanoic acid;[M+K-H2];C6H12O3;-2.89868e-5;-0.171492;169.027249;1 out of 5
169.027038;169.027220;D-Leucic acid;[M+K-H2];C6H12O3;-2.89868e-5;-0.171492;169.027249;1 out of 5
169.027038;169.027220;Leucinic acid;[M+K-H2];C6H12O3;-2.89868e-5;-0.171492;169.027249;1 out of 5
169.027038;169.027220;Hydroxyisocaproic acid;[M+K-H2];C6H12O3;-2.89868e-5;-0.171492;169.027249;1 out of 5
169.027038;169.027220;2-Hydroxycaproic acid;[M+K-H2];C6H12O3;-2.89868e-5;-0.171492;169.027249;1 out of 5
169.027038;169.027220;2-Ethyl-2-Hydroxybutyric acid;[M+K-H2];C6H12O3;-2.89868e-5;-0.171492;169.027249;1 out of 5
169.027038;169.027220;(R)-3-Hydroxyhexanoic acid;[M+K-H2];C6H12O3;-2.89868e-5;-0.171492;169.027249;1 out of 5
169.027038;169.027220;6-Hydroxyhexanoic acid;[M+K-H2];C6H12O3;-2.89868e-5;-0.171492;169.027249;1 out of 5
169.027038;169.027220;2-Methyl-3-hydroxyvaleric acid;[M+K-H2];C6H12O3;-2.89868e-5;-0.171492;169.027249;1 out of 5
169.027038;169.027220;"(+/-)-1-Acetoxy-1-ethoxyethane";[M+K-H2];C6H12O3;-2.89868e-5;-0.171492;169.027249;1 out of 5
169.027038;169.027220;Paraldehyde;[M+K-H2];C6H12O3;-2.89868e-5;-0.171492;169.027249;1 out of 5
169.027038;169.027220;"4,4-Dimethoxy-2-butanone";[M+K-H2];C6H12O3;-2.89868e-5;-0.171492;169.027249;1 out of 5
169.027038;169.027220;Ethyl (±)-3-hydroxybutyrate;[M+K-H2];C6H12O3;-2.89868e-5;-0.171492;169.027249;1 out of 5
169.027038;169.027220;Butoxyacetic acid;[M+K-H2];C6H12O3;-2.89868e-5;-0.171492;169.027249;1 out of 5
169.027038;169.027220;Threo-3-Hydroxy-2-methylbutyric acid;[M+K-H2];C6H12O3;-2.89868e-5;-0.171492;169.027249;1 out of 5
169.027038;169.027220;2-Ethoxyethyl acetate;[M+K-H2];C6H12O3;-2.89868e-5;-0.171492;169.027249;1 out of 5
169.027038;169.027220;Methyl 3-hydroxyisovalerate;[M+K-H2];C6H12O3;-2.89868e-5;-0.171492;169.027249;1 out of 5
169.027038;169.027220;ethyl 4-hydroxybutanoate;[M+K-H2];C6H12O3;-2.89868e-5;-0.171492;169.027249;1 out of 5
169.027038;169.027220;"2,3-Dihydroxypropyl acetate";[M+Cl];C5H10O4;-8.95388e-5;-0.529730;169.027310;1 out of 5
169.027038;169.027220;Glyceryl 2-acetate;[M+Cl];C5H10O4;-8.95388e-5;-0.529730;169.027310;1 out of 5
169.027038;169.027220;"1,4-Anhydroribitol";[M+Cl];C5H10O4;-8.95388e-5;-0.529730;169.027310;1 out of 5
169.027038;169.027220;2-Deoxy-D-ribose;[M+Cl];C5H10O4;-8.95388e-5;-0.529730;169.027310;1 out of 5
169.027038;169.027220;5-Deoxy-D-ribose;[M+Cl];C5H10O4;-8.95388e-5;-0.529730;169.027310;1 out of 5
