"Observed m/z";"Adjusted m/z";Matched name;Adduct;Formula;Matched delta mass (Da);Matched difference (ppm);Matched theoretical mass;Coverage
108.901981;108.901865;Potassium chloride;[M+Cl];ClK;-9.57347e-5;-0.879091;108.901961;1 out of 5
110.899036;110.898919;Selenite;[M-H2O-H];H2O3Se;-1.55769e-4;-1.404597;110.899075;1 out of 5
112.985620;112.985503;"Fluoro 2,2-difluoroacetate";[M-H];C2HF3O2;-8.38238e-5;-0.741899;112.985587;1 out of 5
112.985620;112.985503;Trifluoroacetic acid;[M-H];C2HF3O2;-8.39538e-5;-0.743049;112.985587;1 out of 5
112.985620;112.985503;Hydroxymethyl hydrogen carbonate;[M+Na-H2];C2H4O4;-1.22672e-4;-1.085730;112.985626;1 out of 5
114.926237;114.926119;"Carbonothioic O,S-acid";[M+K-H2];CH2O2S;-3.61096e-5;-0.314198;114.926155;1 out of 5
114.926237;114.926119;Chlorosulfonic acid;[M-H];ClHO3S;-9.64316e-5;-0.839074;114.926216;1 out of 5
114.926237;114.926119;Sulfur trioxide;[M+Cl];O3S;-9.66656e-5;-0.841110;114.926216;1 out of 5
114.935750;114.935632;"Poly(acrylic acid-co-hypophosphite), sodium salt";[M+K-H2];CH3O2P;-3.90737e-5;-0.339962;114.935671;1 out of 5
114.935750;114.935632;Metaphosphoric acid;[M+Cl];HO3P;-9.91487e-5;-0.862645;114.935731;1 out of 5
114.935750;114.935632;Acetyl chloride;[M+K-H2];C2H3ClO;-2.15139e-4;-1.871816;114.935847;1 out of 5
114.935750;114.935632;Chloroacetaldehyde;[M+K-H2];C2H3ClO;-2.15164e-4;-1.872033;114.935847;1 out of 5
114.935750;114.935632;Chlorocarbonic acid;[M+Cl];CHClO2;-2.75739e-4;-2.399065;114.935908;1 out of 5
119.947002;119.946883;Sodium nitrate (NaNO3);[M+Cl];NNaO3;-1.05426e-4;-0.878936;119.946989;1 out of 5
122.985264;122.985145;phosphonoacetaldehyde;[M-H];C2H5O4P;-1.23091e-4;-1.000857;122.985268;2 out of 5
122.985264;122.985145;"2-Butyne-1,4-diol";[M+K-H2];C4H6O2;-2.39364e-4;-1.946277;122.985384;1 out of 5
122.985264;122.985145;"2,2'-Bioxirane";[M+K-H2];C4H6O2;-2.39364e-4;-1.946277;122.985384;1 out of 5
122.985264;122.985145;Acetoacetaldehyde;[M+K-H2];C4H6O2;-2.39364e-4;-1.946277;122.985384;1 out of 5
122.985264;122.985145;Allyl formate;[M+K-H2];C4H6O2;-2.39364e-4;-1.946277;122.985384;1 out of 5
122.985264;122.985145;Cyclopropanecarboxylic acid;[M+K-H2];C4H6O2;-2.39364e-4;-1.946277;122.985384;1 out of 5
122.985264;122.985145;"Butanal, 2-oxo-";[M+K-H2];C4H6O2;-2.39364e-4;-1.946277;122.985384;1 out of 5
122.985264;122.985145;Methylmalondialdehyde;[M+K-H2];C4H6O2;-2.39364e-4;-1.946277;122.985384;1 out of 5
122.985264;122.985145;Succinaldehyde;[M+K-H2];C4H6O2;-2.39364e-4;-1.946277;122.985384;1 out of 5
122.985264;122.985145;gamma-Butyrolactone;[M+K-H2];C4H6O2;-2.39367e-4;-1.946301;122.985384;1 out of 5
122.985264;122.985145;Oxolan-3-one;[M+K-H2];C4H6O2;-2.39367e-4;-1.946301;122.985384;1 out of 5
122.985264;122.985145;Diacetyl;[M+K-H2];C4H6O2;-2.39367e-4;-1.946301;122.985384;1 out of 5
122.985264;122.985145;But-2-enoic acid;[M+K-H2];C4H6O2;-2.39367e-4;-1.946301;122.985384;1 out of 5
122.985264;122.985145;Ethenyl acetate;[M+K-H2];C4H6O2;-2.39367e-4;-1.946301;122.985384;1 out of 5
122.985264;122.985145;Methyl acrylate;[M+K-H2];C4H6O2;-2.39367e-4;-1.946301;122.985384;1 out of 5
122.985264;122.985145;Isocrotonic acid;[M+K-H2];C4H6O2;-2.39367e-4;-1.946301;122.985384;1 out of 5
122.985264;122.985145;METHACRYLIC ACID;[M+K-H2];C4H6O2;-2.39367e-4;-1.946301;122.985384;1 out of 5
122.985264;122.985145;3-Chloro-2-hydroxypropanoic acid;[M-H];C3H5ClO3;-2.99631e-4;-2.436309;122.985445;2 out of 5
122.985264;122.985145;2-hydroxyacrylic Acid;[M+Cl];C3H4O3;-2.99920e-4;-2.438659;122.985445;1 out of 5
122.985264;122.985145;Ethylene carbonate;[M+Cl];C3H4O3;-2.99920e-4;-2.438659;122.985445;1 out of 5
122.985264;122.985145;Pyruvic acid;[M+Cl];C3H4O3;-2.99925e-4;-2.438700;122.985445;1 out of 5
122.985264;122.985145;Malonic semialdehyde;[M+Cl];C3H4O3;-2.99925e-4;-2.438700;122.985445;1 out of 5
